Identifier,Features,,,,,,,,,,,,Labels,,,,,,,,,,,
"M = model
R = room
P = simulation points",solidAngle,obstructionValues LowerQuarter,obstructionValues SecondQuarter,obstructionValues ThirdQuarter,obstructionValues HigherQuarter,Projection AspectRatio,Frame ratio,solidAngleTilt,roomAvge SolidAngle,distanceWindowCenterToPt,angleOfPointPositionInReferenceToWindowNormal,windowHeadHeight,DF ,,,,,,,,,,,
MMRRRPPP,steradians,0 to 4,0 to 4,0 to 4,0 to 4,,0-1,degrees,steradians,meters,degrees,meters,%,,,,,,,,,,,
String (10 char.),Float  (1 decimal),vector 4 components,vector 4 components,vector 4 components,vector 4 components,,Float (2 decimals),Float (2 decimals),Float  (1 decimal),Float (2 decimals),Float (1 decimal),Float (2 decimals),Float (2 decimals),,,,,,,,,,,
27000128,0.174,0,0,0,0,0.45,0.78,18.10,0.17,4.29,18.53,4.02,0.37,,,,,,,,,,,
27000129,0.145,0,0,0,0,0.43,0.78,16.90,0.17,4.71,22.03,4.02,0.33,,,,,,,,,,,
27000130,0.122,0,0,0,0,0.41,0.78,15.80,0.17,5.14,24.95,4.02,0.28,,,,,,,,,,,
27000131,0.103,0,0,0,0,0.39,0.78,14.70,0.17,5.59,27.41,4.02,0.25,,,,,,,,,,,
27000132,0.043,0,4,4,0,0.06,0.78,25.90,0.17,2.47,73.48,4.02,0.37,,,,,,,,,,,
27000133,0.15,1,4,4,0,0.18,0.78,27.40,0.17,2.20,63.05,4.02,1.08,,,,,,,,,,,
27000134,0.286,0,2,3,1,0.32,0.78,28.60,0.17,2.03,50.33,4.02,1.75,,,,,,,,,,,
27000135,0.399,0,0,3,1,0.44,0.78,29.10,0.17,1.97,36.06,4.02,2.95,,,,,,,,,,,
27000136,0.451,0,0,2,1,0.53,0.78,28.80,0.17,2.03,21.83,4.02,2.37,,,,,,,,,,,
27000137,0.432,0,0,1,3,0.54,0.78,27.60,0.17,2.21,9.19,4.02,1.52,,,,,,,,,,,
27000138,0.385,0,0,0,0,0.53,0.78,26.00,0.17,2.48,1.14,4.02,0.77,,,,,,,,,,,
27000139,0.33,0,0,0,0,0.51,0.78,24.10,0.17,2.81,9.24,4.02,0.56,,,,,,,,,,,
27000140,0.274,0,0,0,0,0.49,0.78,22.30,0.17,3.19,15.54,4.02,0.5,,,,,,,,,,,
27000141,0.222,0,0,0,0,0.45,0.78,20.60,0.17,3.60,20.46,4.02,0.46,,,,,,,,,,,
27000142,0.181,0,0,0,0,0.43,0.78,19.00,0.17,4.02,24.36,4.02,0.37,,,,,,,,,,,
27000143,0.148,0,0,0,0,0.40,0.78,17.60,0.17,4.47,27.50,4.02,0.38,,,,,,,,,,,
27000144,0.122,0,0,0,0,0.38,0.78,16.30,0.17,4.92,30.06,4.02,0.32,,,,,,,,,,,
27000145,0.102,0,0,0,0,0.37,0.78,15.20,0.17,5.38,32.19,4.02,0.3,,,,,,,,,,,
27000146,0.113,0,4,4,0,0.12,0.78,30.00,0.17,1.77,70.34,4.02,0.72,,,,,,,,,,,
27000147,0.358,0,2,2,0,0.33,0.78,31.90,0.17,1.55,54.81,4.02,2.73,,,,,,,,,,,
27000148,0.555,0,0,2,0,0.52,0.78,33.10,0.17,1.47,35.96,4.02,4.03,,,,,,,,,,,
27000149,0.588,0,0,2,3,0.60,0.78,32.60,0.17,1.55,17.20,4.02,3.04,,,,,,,,,,,
27000150,0.533,0,0,1,3,0.58,0.78,30.70,0.17,1.78,1.84,4.02,1.92,,,,,,,,,,,
27000151,0.454,0,0,0,2,0.55,0.78,28.30,0.17,2.11,9.44,4.02,1.28,,,,,,,,,,,
27000152,0.37,0,0,0,0,0.51,0.78,25.90,0.17,2.49,17.49,4.02,0.85,,,,,,,,,,,
27000153,0.289,0,0,0,0,0.46,0.78,23.70,0.17,2.91,23.32,4.02,0.5,,,,,,,,,,,
27000154,0.227,0,0,0,0,0.42,0.78,21.60,0.17,3.35,27.64,4.02,0.43,,,,,,,,,,,
27000155,0.18,0,0,0,0,0.39,0.78,19.80,0.17,3.80,30.94,4.02,0.32,,,,,,,,,,,
27000156,0.145,0,0,0,0,0.37,0.78,18.20,0.17,4.27,33.53,4.02,0.3,,,,,,,,,,,
27000157,0.119,0,0,0,0,0.35,0.78,16.80,0.17,4.74,35.61,4.02,0.29,,,,,,,,,,,
27000158,0,0,0,0,0,0.00,0.78,0.00,0.17,1.09,63.19,4.02,3.52,,,,,,,,,,,
27000159,0.768,0,0,2,0,0.69,0.78,39.40,0.17,0.97,35.76,4.02,5.75,,,,,,,,,,,
27000160,0.733,0,0,1,0,0.70,0.78,37.90,0.17,1.09,8.58,4.02,4.13,,,,,,,,,,,
27000161,0.639,0,0,0,2,0.63,0.78,34.20,0.17,1.40,9.85,4.02,1.95,,,,,,,,,,,
27000162,0.515,0,0,0,1,0.56,0.78,30.60,0.17,1.79,20.97,4.02,1.28,,,,,,,,,,,
27000163,0.382,0,0,0,1,0.47,0.78,27.40,0.17,2.23,27.92,4.02,0.95,,,,,,,,,,,
27000164,0.286,0,0,0,0,0.42,0.78,24.80,0.17,2.69,32.55,4.02,0.71,,,,,,,,,,,
27000165,0.218,0,0,0,0,0.38,0.78,22.50,0.17,3.16,35.81,4.02,0.53,,,,,,,,,,,
27000166,0.17,0,0,0,0,0.35,0.78,20.50,0.17,3.64,38.22,4.02,0.38,,,,,,,,,,,
27000167,0.136,0,0,0,0,0.33,0.78,18.70,0.17,4.13,40.07,4.02,0.37,,,,,,,,,,,
27000168,0.79,0,1,4,0,0.89,0.78,46.00,0.17,0.69,11.08,4.02,5.31,,,,,,,,,,,
27000169,0.722,0,0,0,0,0.66,0.78,37.30,0.17,1.11,28.76,4.02,2.41,,,,,,,,,,,
27000170,0.51,0,0,0,1,0.50,0.78,32.10,0.17,1.58,36.41,4.02,1.42,,,,,,,,,,,
27000171,0.35,0,0,0,1,0.40,0.78,28.50,0.17,2.06,40.53,4.02,0.97,,,,,,,,,,,
27000172,0.253,1,0,0,1,0.35,0.78,25.50,0.17,2.55,43.07,4.02,0.76,,,,,,,,,,,
27000173,0.191,1,0,0,1,0.32,0.78,23.00,0.17,3.05,44.80,4.02,0.57,,,,,,,,,,,
27000174,0.149,1,0,0,0,0.30,0.78,20.90,0.17,3.54,46.04,4.02,0.5,,,,,,,,,,,
27000175,0.655,0,1,2,0,0.51,0.78,37.50,0.17,1.01,55.43,4.02,2.7,,,,,,,,,,,
27000176,0.37,1,1,2,0,0.34,0.78,32.20,0.17,1.51,54.84,4.02,1.39,,,,,,,,,,,
27000177,0.253,2,2,1,0,0.28,0.78,28.70,0.17,2.01,54.54,4.02,1,,,,,,,,,,,
27000178,0.188,3,2,1,1,0.25,0.78,25.70,0.17,2.51,54.36,4.02,0.81,,,,,,,,,,,
27000179,0.146,3,3,2,1,0.24,0.78,23.20,0.17,3.01,54.24,4.02,0.85,,,,,,,,,,,
27000180,0.117,3,2,2,1,0.23,0.78,21.00,0.17,3.51,54.16,4.02,0.68,,,,,,,,,,,
27000181,0.091,0,0,0,0,0.09,0.78,31.00,0.17,1.60,73.04,4.02,0.4,,,,,,,,,,,
27000182,0.108,0,0,0,0,0.13,0.78,28.10,0.17,2.08,68.46,4.02,0.37,,,,,,,,,,,
27000183,0.101,0,0,0,0,0.14,0.78,25.40,0.17,2.57,65.60,4.02,0.38,,,,,,,,,,,
27000184,0.09,1,1,1,0,0.15,0.78,23.00,0.17,3.06,63.66,4.02,0.47,,,,,,,,,,,
27000185,0.019,0,0,0,0,0.03,0.78,24.60,0.17,2.71,75.99,4.02,0.33,,,,,,,,,,,
27001000,0.052,0,0,0,2,0.38,0.72,9.60,0.20,9.44,36.99,4.32,0.2,,,,,,,,,,,
27001001,0.055,0,0,0,1,0.40,0.72,9.60,0.20,9.45,33.96,4.32,0.24,,,,,,,,,,,
27001002,0.057,0,0,0,0,0.42,0.72,9.50,0.20,9.48,30.94,4.32,0.18,,,,,,,,,,,
27001003,0.054,0,0,0,3,0.36,0.72,10.10,0.20,8.96,40.23,4.32,0.29,,,,,,,,,,,
27001004,0.058,0,0,0,2,0.38,0.72,10.10,0.20,8.94,37.03,4.32,0.2,,,,,,,,,,,
27001005,0.061,0,0,0,1,0.40,0.72,10.10,0.20,8.95,33.83,4.32,0.23,,,,,,,,,,,
27001006,0.064,0,0,0,0,0.42,0.72,10.00,0.20,8.98,30.64,4.32,0.19,,,,,,,,,,,
27001007,0.065,0,0,0,0,0.44,0.72,10.00,0.20,9.05,27.48,4.32,0.25,,,,,,,,,,,
27001008,0.06,0,0,0,3,0.36,0.72,10.60,0.20,8.46,40.46,4.32,0.22,,,,,,,,,,,
27001009,0.064,0,0,0,2,0.38,0.72,10.60,0.20,8.44,37.07,4.32,0.2,,,,,,,,,,,
